City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,Sarakhs,36.5449,61.1577,62.6,27,84,2.3,IR,2021-04-23 22:01:17
244,Souillac,-20.5167,57.5167,78.8,78,40,9.22,MU,2021-04-23 22:01:17
245,Umm Lajj,25.0213,37.2685,84.85,39,3,6.02,SA,2021-04-23 22:01:18
246,San Nicolas,18.1725,120.5953,71.6,94,20,4.61,PH,2021-04-23 22:01:18
247,Guanare,9.0418,-69.7421,89.6,51,56,6.91,VE,2021-04-23 22:01:18
248,Sioux Lookout,50.1001,-91.917,39.2,56,75,6.91,CA,2021-04-23 22:01:19
249,Dicabisagan,17.0818,122.4157,74.26,86,13,3.94,PH,2021-04-23 21:56:21
250,Ancud,-41.8697,-73.8203,55.99,76,75,5.75,CL,2021-04-23 21:59:42
251,Yellowknife,62.456,-114.3525,16.0,57,75,13.8,CA,2021-04-23 21:58:55
252,Huarmey,-10.0681,-78.1522,70.66,79,9,8.28,PE,2021-04-23 22:01:20
253,Wanaka,-44.7,169.15,51.3,66,44,4.12,NZ,2021-04-23 22:01:12
254,Saint-Joseph,-21.3667,55.6167,77.0,73,70,6.91,RE,2021-04-23 22:01:20
255,Puerto Armuelles,8.2833,-82.8667,82.4,74,75,11.5,PA,2021-04-23 22:01:21
256,Luderitz,-26.6481,15.1594,63.27,80,44,8.28,NA,2021-04-23 22:01:21
257,Sao Sebastiao,-23.76,-45.4097,70.99,87,48,5.46,BR,2021-04-23 22:01:22
258,Saint-Francois,46.4154,3.9054,50.0,46,0,3.89,FR,2021-04-23 22:01:22
259,Kinsale,51.7075,-8.5306,50.0,66,40,13.8,IE,2021-04-23 22:01:22
260,Komsomolskiy,40.4272,71.7189,51.8,58,13,6.91,UZ,2021-04-23 22:01:23
261,Danielskuil,-28.1887,23.5395,59.81,31,0,4.59,ZA,2021-04-23 22:01:23
262,Sturgis,41.7992,-85.4192,59.0,33,75,12.66,US,2021-04-23 22:01:24
263,Yulara,-25.2406,130.9889,51.8,66,1,5.75,AU,2021-04-23 22:01:15
264,Floro,61.5996,5.0328,37.4,70,40,9.22,NO,2021-04-23 22:01:24
265,Peterhead,57.5058,-1.7981,42.8,81,100,2.3,GB,2021-04-23 22:01:25
266,Ponta Delgada,37.7333,-25.6667,59.0,67,40,20.71,PT,2021-04-23 22:01:25
